0,1,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,desconocido,year
169,16,7,10,40,50,73,80,137,205,298,415,527,794,995,1239,1531,2114,4400,7,2008
144,18,22,18,34,63,68,84,143,211,276,406,552,755,976,1223,1549,1955,4386,7,2009
145,9,6,11,22,44,48,92,124,178,283,385,561,798,1014,1242,1659,1945,4773,5,2010
153,18,15,11,35,56,78,80,126,165,285,422,588,752,979,1266,1626,1982,4894,7,2011
163,12,6,17,20,47,56,90,97,155,227,377,543,779,1049,1267,1674,2101,4980,2,2012
105,13,14,12,27,58,47,76,110,154,250,382,578,740,1023,1256,1584,2047,4769,0,2013
100,16,6,4,25,39,56,73,119,157,272,391,497,734,1050,1323,1713,2031,5267,0,2014
95,15,7,8,27,38,55,71,99,141,204,359,478,702,984,1271,1599,1983,4796,0,2015
95,23,15,6,15,31,62,70,113,168,220,358,553,725,1011,1326,1636,2027,5016,0,2016
66,9,8,6,24,45,54,64,98,139,228,354,513,674,973,1429,1652,2216,5510,0,2017
60,8,4,15,18,39,26,76,92,136,197,335,438,652,976,1317,1631,1982,5140,0,2018
62,9,6,4,16,43,42,72,118,138,205,317,495,663,916,1238,1663,2037,5352,0,2019
76,6,3,6,17,44,54,61,90,140,219,333,507,735,974,1491,1897,2094,5805,0,2020
60,6,6,5,14,38,60,66,107,148,218,331,523,761,1020,1459,1972,2266,5891,0,2021
66,8,9,6,17,39,42,68,98,160,219,307,545,750,1045,1539,2139,2668,6534,0,2022
56,17,2,6,13,32,46,63,109,129,188,314,478,749,1023,1489,2089,2619,6632,0,2023
