0,1,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,desconocido,year
251,16,11,20,161,355,338,288,344,446,627,740,1074,1280,1417,1589,1764,1913,2958,43,2006
223,19,18,30,160,320,350,299,315,417,526,828,1040,1355,1508,1680,1783,1918,3192,48,2007
219,23,14,22,158,289,347,300,318,415,590,769,955,1335,1485,1621,1720,1903,3243,38,2008
208,17,15,29,163,334,362,324,292,415,552,825,1012,1309,1483,1737,1830,1972,3206,29,2009
196,16,15,17,150,341,336,307,273,351,503,705,963,1267,1545,1688,1904,1878,3331,20,2010
192,20,16,23,165,327,365,330,302,361,516,706,1032,1303,1542,1768,1947,1946,3325,34,2011
198,15,12,15,153,329,279,310,274,361,511,699,908,1246,1559,1717,1969,2028,3414,6,2012
156,18,9,11,121,317,284,251,293,314,506,708,994,1184,1540,1702,1966,1953,3436,1,2013
151,13,8,15,105,284,240,233,251,324,445,641,962,1282,1746,1832,1959,2107,3681,0,2014
123,8,10,15,90,231,223,216,240,299,403,700,948,1187,1562,1743,1875,1974,3305,0,2015
119,8,9,12,84,232,240,228,277,270,464,680,949,1216,1603,1870,1997,1999,3610,1,2016
97,13,8,3,80,245,261,272,308,370,460,720,1006,1210,1698,1936,2175,2131,3720,2,2017
82,13,4,9,67,217,236,244,278,364,431,607,919,1197,1534,1855,2050,2102,3583,0,2018
71,10,8,14,58,213,254,238,287,370,414,658,876,1194,1495,1861,2042,2112,3730,0,2019
68,15,4,9,68,175,232,239,288,363,472,697,955,1269,1631,2152,2377,2329,4028,0,2020
77,15,11,8,72,230,267,288,342,459,473,736,1055,1316,1596,2079,2405,2455,4114,0,2021
94,11,6,7,75,190,260,293,312,416,455,682,949,1311,1696,2131,2699,2626,4726,0,2022
91,13,10,9,63,167,223,228,268,387,477,603,906,1232,1555,1957,2626,2564,4651,0,2023
