age,year,central,lower,upper,type,sex
0,1950,0.0827801937895781,,,historic,male
0,1951,0.0795327293087652,,,historic,male
0,1952,0.0756418092909535,,,historic,male
0,1953,0.069351344462852,,,historic,male
0,1954,0.0651159231769837,,,historic,male
0,1955,0.0601102659655929,,,historic,male
0,1956,0.0614814814814815,,,historic,male
0,1957,0.0543172639435612,,,historic,male
0,1958,0.059447983014862,,,historic,male
0,1959,0.0523998464098298,,,historic,male
0,1960,0.0481558695596222,,,historic,male
0,1961,0.0464951430821738,,,historic,male
0,1962,0.0491065448602888,,,historic,male
0,1963,0.0546712613499617,,,historic,male
0,1964,0.0662551325381973,,,historic,male
0,1965,0.0558251041726126,,,historic,male
0,1966,0.045746294783522,,,historic,male
0,1967,0.0396860919643124,,,historic,male
0,1968,0.036030534351145,,,historic,male
0,1969,0.0353268515334355,,,historic,male
0,1970,0.0360586071292655,,,historic,male
0,1971,0.0347176650729665,,,historic,male
0,1972,0.0330161076719332,,,historic,male
0,1973,0.0283563057866294,,,historic,male
0,1974,0.0257438783452074,,,historic,male
0,1975,0.0251217712177122,,,historic,male
0,1976,0.0246622408572094,,,historic,male
0,1977,0.0250775594622544,,,historic,male
0,1978,0.0223066239619058,,,historic,male
0,1979,0.0236929704327394,,,historic,male
0,1980,0.0227380125086866,,,historic,male
0,1981,0.0216502692188425,,,historic,male
0,1982,0.0189585656686969,,,historic,male
0,1983,0.0194383196007891,,,historic,male
0,1984,0.0158982511923688,,,historic,male
0,1985,0.0154498998894301,,,historic,male
0,1986,0.0145323260823397,,,historic,male
0,1987,0.0158969777257463,,,historic,male
0,1988,0.0144260858680686,,,historic,male
0,1989,0.0172950976028486,,,historic,male
0,1990,0.0164663422807979,,,historic,male
0,1991,0.0154584049000227,,,historic,male
0,1992,0.014993481095176,,,historic,male
0,1993,0.0159323367427223,,,historic,male
0,1994,0.0130576713819369,,,historic,male
0,1995,0.0158535371961129,,,historic,male
0,1996,0.0116434243010609,,,historic,male
0,1997,0.0133230418148869,,,historic,male
0,1998,0.0120185003882381,,,historic,male
0,1999,0.0111394124639158,,,historic,male
0,2000,0.0109407689405632,,,historic,male
0,2001,0.0103732258629753,,,historic,male
0,2002,0.0104248764061045,,,historic,male
0,2003,0.0103689590737552,,,historic,male
0,2004,0.00869858647969705,,,historic,male
0,2005,0.00952015355086372,,,historic,male
0,2006,0.00987062015808722,,,historic,male
0,2007,0.00898939815374693,,,historic,male
0,2008,0.0090548251054329,,,historic,male
0,2009,0.00882664969234033,,,historic,male
0,2010,0.00860895155268591,,,historic,male
0,2011,0.00895438858315456,,,historic,male
0,2012,0.00984242183228116,,,historic,male
0,2013,0.00830140485312899,,,historic,male
0,2014,0.00864487318944295,,,historic,male
0,2015,0.00761987362160823,,,historic,male
0,2016,0.0080313153809813,,,historic,male
0,2017,0.00718944559739105,,,historic,male
0,2018,0.00673954138242788,,,historic,male
0,2019,0.00654860726803173,,,historic,male
0,2020,0.00656624179219776,,,historic,male
0,2021,0.00799584631360332,,,historic,male
0,2022,0.00767415300857876,0.0103715798532061,0.0055968050292813,forecast,male
0,2023,0.00731825714125402,0.0114871130722783,0.00472939132374597,forecast,male
0,2024,0.00698796680225751,0.0122488871075186,0.00410725793698276,forecast,male
0,2025,0.0067003079064514,0.0128835370560024,0.0035906037324569,forecast,male
0,2026,0.00635358004414627,0.0130763699734061,0.00321505784696946,forecast,male
0,2027,0.00613457799197023,0.0132282127547466,0.00285135451278958,forecast,male
0,2028,0.00592024822582943,0.0134899714270606,0.00262554708472919,forecast,male
0,2029,0.00564036265660456,0.0135294124412294,0.0024482774513819,forecast,male
0,2030,0.00542756295156074,0.013537515406746,0.00223149995732649,forecast,male
0,2031,0.00520980018346537,0.013779482743803,0.00205347695216124,forecast,male
0,2032,0.00500795541614953,0.0140568793171194,0.00184580401641815,forecast,male
0,2033,0.00485710710999529,0.0141600975561024,0.00163780039451526,forecast,male
0,2034,0.00459238397588278,0.0140762564771631,0.00149119171533671,forecast,male
0,2035,0.00444566367012072,0.0136783005875864,0.0014171740482785,forecast,male
0,2036,0.00422925068994482,0.0135657687918443,0.00131150490554424,forecast,male
0,2037,0.0040752288494645,0.0139195854992404,0.00120638154862743,forecast,male
0,2038,0.00388366920477779,0.013978034667322,0.00109262032815714,forecast,male
0,2039,0.00372828812347295,0.0135588781040938,0.00100959952188816,forecast,male
0,2040,0.00355616522193062,0.0133211317443904,0.000910202515437333,forecast,male
0,2041,0.00335492961507445,0.0133650559348865,0.00086113981450574,forecast,male
0,2042,0.00321383036182067,0.0131818549688545,0.000804536222138184,forecast,male
0,2043,0.00312001724880789,0.0135573963065357,0.000754554397075811,forecast,male
0,2044,0.00298032754529045,0.0130140607742523,0.000735121630016912,forecast,male
0,2045,0.00287601279169337,0.0132499617324281,0.000636060163004958,forecast,male
0,2046,0.0027230696098162,0.0137095664962656,0.000588031965918829,forecast,male
0,2047,0.0025954122773692,0.0132145688113992,0.00055345998526725,forecast,male
0,2048,0.00248964689444106,0.0128589201440201,0.000509637690203207,forecast,male
0,2049,0.00240630157576726,0.0125583895125181,0.000482482431898765,forecast,male
0,2050,0.00226228157159765,0.01249189794237,0.000438674274194626,forecast,male
0,2051,0.00218773774984363,0.0119338367051039,0.000403566153988597,forecast,male
0,2052,0.002090495420096,0.0116859584959332,0.00036298230056513,forecast,male
0,2053,0.00199541373558377,0.0115619461597919,0.000328236097236562,forecast,male
0,2054,0.00192737873911454,0.011038696161518,0.000307422379725955,forecast,male
0,2055,0.00186331568457972,0.0108863056135773,0.000285420137542579,forecast,male
0,2056,0.00175534661538262,0.0109701570925178,0.000278718143575328,forecast,male
0,2057,0.00167149064571101,0.0110544152181058,0.000253998403488853,forecast,male
0,2058,0.00159568387053744,0.0108428889893453,0.000228305504934608,forecast,male
0,2059,0.00150590062376186,0.0104414449043077,0.000227092274229969,forecast,male
0,2060,0.00145062108295233,0.00999445698885236,0.000214858701026454,forecast,male
0,2061,0.00140277473600845,0.00965780099860284,0.000195564276779802,forecast,male
0,2062,0.00132962589478928,0.00977625545131972,0.000178333332623381,forecast,male
0,2063,0.00128563391624337,0.0102535562485289,0.000173942309339573,forecast,male
0,2064,0.00122328912629879,0.00983533000693752,0.00017158924095668,forecast,male
0,2065,0.00118944351594451,0.00939162391466257,0.000150842802639151,forecast,male
0,2066,0.00114464507881376,0.00917986509977508,0.000137639544936282,forecast,male
0,2067,0.00110444531379392,0.00914765397458554,0.000135348362219752,forecast,male
0,2068,0.00105128573096982,0.00891558523347349,0.000123183981103516,forecast,male
