year,sex,q_0025,q_0500,q_0975
1950,female,-0.638511688228213,-0.0757772121374405,0.347078145023887
1950,male,-0.429000439075117,-0.125158333008025,0.516554279379633
1951,female,-0.651304688322517,-0.0505550546907188,0.613870421018559
1951,male,-0.460294830675633,-0.0218754483476964,0.525958346227843
1952,female,-0.742765349299853,-0.0996460407693647,0.391811679432555
1952,male,-0.514280483651446,-0.0222083710184915,0.440158238121537
1953,female,-0.805328539787887,-0.0903691140191345,0.366123990986521
1953,male,-0.61119290736355,-0.0788691283754517,0.536804018775368
1954,female,-0.870812780209172,0.0309691662514027,0.400720336255988
1954,male,-0.523299518027793,-0.0208839526218005,0.580042428136709
1955,female,-0.815465497421616,-0.0550769315171991,0.758117223071347
1955,male,-0.661645677039987,-0.0818541675887587,0.633557576986296
1956,female,-0.806800706355731,-0.0737666943719475,0.655973006794714
1956,male,-0.587955785693265,-0.0983276826142152,0.435572592366936
1957,female,-1.06866736843436,-0.272269639757259,1.01207859884554
1957,male,-0.673921578221282,-0.0348943742235686,0.657293221298663
1958,female,-1.09440476431537,-0.30573494723487,0.805107190207833
1958,male,-0.928661028342714,-0.050879653184456,0.730620346732441
1959,female,-1.34928180954863,-0.157540718446455,0.696957913518154
1959,male,-0.858554216020143,-0.127303555616448,0.765124026129858
1960,female,-0.726213720432021,-0.136276687260438,0.57562715676321
1960,male,-0.67100521036952,-0.0657003870579329,0.911697445535149
1961,female,-0.754194479490215,-0.162951330521874,0.810830305809819
1961,male,-0.666568976151569,-0.00175618710638048,0.780089529612461
1962,female,-0.903042918886423,-0.173872897100687,0.42659758945324
1962,male,-0.632235713258523,-0.0982296869851176,0.524189352421579
1963,female,-1.2754482196383,-0.0963394290744075,0.723762628447191
1963,male,-0.628802193341655,-0.0851133850699553,0.634821002737039
1964,female,-0.98372921022298,-0.0856015898291576,0.995949419735852
1964,male,-0.62715351218938,-0.145170913292756,0.540897562948081
1965,female,-1.09943505017904,-0.149241616955609,0.654688205776297
1965,male,-0.72417524605791,-0.0766882704030847,0.553365396302696
1966,female,-0.732180157628313,0.00154777471822598,0.90633944881512
1966,male,-0.756371568557788,-0.191219466812711,0.947452363526534
1967,female,-1.25073265518177,-0.107714555286607,1.03807851021872
1967,male,-0.832947969449254,-0.0874981037355633,0.899635611529598
1968,female,-1.05974027021091,-0.0764040242297424,0.980282512269874
1968,male,-0.783862911182773,-0.166521888365621,0.829259901401965
1969,female,-1.38941343789634,-0.0300819564062329,0.984044850532212
1969,male,-0.707736744788917,-0.0577618005251033,0.920484375281625
1970,female,-1.12491590889122,-0.0689600737170162,1.03557743034925
1970,male,-0.991069357332841,-0.138049505302285,0.769823448576643
1971,female,-0.78991681933988,0.0778674531063017,1.02797649864505
1971,male,-0.931833308985433,-0.228977811925197,1.19270249317635
1972,female,-1.12771627393107,0.0050511676275744,0.915417169681947
1972,male,-0.741478840799362,-0.0205965326779414,1.14839074211432
1973,female,-1.40958063047511,-0.0916213404699189,1.5984324116437
1973,male,-1.02145241457751,0.0389543577869618,1.06249787317701
1974,female,-1.10437061476885,-0.10514420340059,1.17376678266066
1974,male,-0.841154305122224,0.0382538323287025,0.96297844907424
1975,female,-1.40644331268385,0.0490111783100728,1.23163138269899
1975,male,-0.926023124404947,-0.0274558380869221,0.713557279461441
1976,female,-1.0821403315873,0.0804780697990535,1.39428309646332
1976,male,-1.56529928979711,0.0156095386921795,0.96141672124208
1977,female,-1.65539047107541,-0.348563072382509,0.833901171581502
1977,male,-0.95675498844892,-0.0726281855180151,0.859585770804518
1978,female,-1.21424935835668,-0.144857137392378,1.49237224976122
1978,male,-0.735346104636902,-0.0285508846398997,1.31711034560292
1979,female,-1.06966780999706,-0.0638205247176313,1.26199373661876
1979,male,-0.939735609627653,-0.187845345929648,0.986211136597925
1980,female,-1.2628990969701,-0.170972722148336,0.869193449370692
