sex,year,age,n,qx,lx,dx,Lx,Tx,ex,type
female,1950,0,1,0.0638429199881134,1e+05,6384,95054.1285659543,6264224.54520996,62.6422454520996,historic
female,1950,1,4,0.0406127702767895,93616,3802,364814.004872302,6169170.416644,65.8986756178859,historic
female,1950,5,5,0.011111964118803,89814,998,446575,5804356.4117717,64.6264102675719,historic
female,1950,10,5,0.0051477720574048,88816,457,442937.5,5357781.4117717,60.3245069781537,historic
female,1950,15,5,0.0117985379607941,88359,1043,439187.5,4914843.9117717,55.6235800741487,historic
female,1950,20,5,0.0178997933476174,87316,1563,432672.5,4475656.4117717,51.2581475533889,historic
female,1950,25,5,0.0231139670240737,85753,1982,423810,4042983.9117717,47.1468509763122,historic
female,1950,30,5,0.0245323334640715,83771,2055,413717.5,3619173.9117717,43.2031838198386,historic
female,1950,35,5,0.0283658508001036,81716,2318,402785,3205456.4117717,39.2267904911119,historic
female,1950,40,5,0.034256556901545,79398,2720,390190,2802671.4117717,35.2990177557583,historic
female,1950,45,5,0.0412056642251748,76678,3160,375490,2412481.4117717,31.4624978712499,historic
female,1950,50,5,0.0424612875785922,73518,3121,359787.5,2036991.4117717,27.7073833859966,historic
female,1950,55,5,0.0619732412335983,70397,4363,341077.5,1677203.9117717,23.8249344683964,historic
female,1950,60,5,0.0870113145346682,66034,5746,315805,1336126.4117717,20.2339160397931,historic
female,1950,65,5,0.117660668888205,60288,7093,283707.5,1020321.4117717,16.9241210816697,historic
female,1950,70,5,0.185439646495232,53195,9865,241312.5,736613.911771701,13.8474276110856,historic
female,1950,75,5,0.21365753646386,43330,9257,193507.5,495301.4117717,11.4309118802608,historic
female,1950,80,5,0.323137482042625,34073,11011,142837.5,301793.9117717,8.85727443347226,historic
female,1950,85,,1,23062,23062,158956.4117717,158956.4117717,6.89256837098692,historic
female,1951,0,1,0.062911882924515,1e+05,6291,95108.9941490616,6249968.45266941,62.4996845266941,historic
female,1951,1,4,0.0462091197665412,93709,4330,363858.278115606,6154859.45852034,65.6805585218105,historic
female,1951,5,5,0.00982291122978269,89379,878,444700,5791001.18040474,64.7915190414386,historic
female,1951,10,5,0.00526612820812623,88501,466,441340,5346301.18040474,60.4095002362091,historic
female,1951,15,5,0.0106571544957118,88035,939,437827.5,4904961.18040474,55.7160354450473,historic
female,1951,20,5,0.0181732665831058,87096,1582,431525,4467133.68040474,51.2897685359229,historic
female,1951,25,5,0.0213256201588391,85514,1824,423010,4035608.68040474,47.1923741189132,historic
female,1951,30,5,0.0253944810332615,83690,2125,413137.5,3612598.68040474,43.1664318365962,historic
female,1951,35,5,0.0277215213392542,81565,2261,402172.5,3199461.18040474,39.225907931156,historic
female,1951,40,5,0.0319358210716059,79304,2533,390187.5,2797288.68040474,35.2729834611714,historic
female,1951,45,5,0.0328781720775951,76771,2524,377545,2407101.18040474,31.354302801901,historic
female,1951,50,5,0.0438920424571103,74247,3259,363087.5,2029556.18040474,27.335194424081,historic
female,1951,55,5,0.0555134731411197,70988,3941,345087.5,1666468.68040474,23.475357530917,historic
female,1951,60,5,0.0734943448511288,67047,4927,322917.5,1321381.18040474,19.7082819575035,historic
