age,year,central,lower,upper,type,sex
0,1950,0.0827801937895781,,,historic,male
0,1951,0.0795327293087652,,,historic,male
0,1952,0.0756418092909535,,,historic,male
0,1953,0.069351344462852,,,historic,male
0,1954,0.0651159231769837,,,historic,male
0,1955,0.0601102659655929,,,historic,male
0,1956,0.0614814814814815,,,historic,male
0,1957,0.0543172639435612,,,historic,male
0,1958,0.059447983014862,,,historic,male
0,1959,0.0523998464098298,,,historic,male
0,1960,0.0481558695596222,,,historic,male
0,1961,0.0464951430821738,,,historic,male
0,1962,0.0491065448602888,,,historic,male
0,1963,0.0546712613499617,,,historic,male
0,1964,0.0662551325381973,,,historic,male
0,1965,0.0558251041726126,,,historic,male
0,1966,0.045746294783522,,,historic,male
0,1967,0.0396860919643124,,,historic,male
0,1968,0.036030534351145,,,historic,male
0,1969,0.0353268515334355,,,historic,male
0,1970,0.0360586071292655,,,historic,male
0,1971,0.0347176650729665,,,historic,male
0,1972,0.0330161076719332,,,historic,male
0,1973,0.0283563057866294,,,historic,male
0,1974,0.0257438783452074,,,historic,male
0,1975,0.0251217712177122,,,historic,male
0,1976,0.0246622408572094,,,historic,male
0,1977,0.0250775594622544,,,historic,male
0,1978,0.0223066239619058,,,historic,male
0,1979,0.0236929704327394,,,historic,male
0,1980,0.0227380125086866,,,historic,male
0,1981,0.0216502692188425,,,historic,male
0,1982,0.0189585656686969,,,historic,male
0,1983,0.0194383196007891,,,historic,male
0,1984,0.0158982511923688,,,historic,male
0,1985,0.0154498998894301,,,historic,male
0,1986,0.0145323260823397,,,historic,male
0,1987,0.0158969777257463,,,historic,male
0,1988,0.0144260858680686,,,historic,male
0,1989,0.0172950976028486,,,historic,male
0,1990,0.0164663422807979,,,historic,male
0,1991,0.0154584049000227,,,historic,male
0,1992,0.014993481095176,,,historic,male
0,1993,0.0159323367427223,,,historic,male
0,1994,0.0130576713819369,,,historic,male
0,1995,0.0158535371961129,,,historic,male
0,1996,0.0116434243010609,,,historic,male
0,1997,0.0133230418148869,,,historic,male
0,1998,0.0120185003882381,,,historic,male
0,1999,0.0111394124639158,,,historic,male
0,2000,0.0109407689405632,,,historic,male
0,2001,0.0103732258629753,,,historic,male
0,2002,0.0104248764061045,,,historic,male
0,2003,0.0103689590737552,,,historic,male
0,2004,0.00869858647969705,,,historic,male
0,2005,0.00952015355086372,,,historic,male
0,2006,0.00987062015808722,,,historic,male
0,2007,0.00898939815374693,,,historic,male
0,2008,0.0090548251054329,,,historic,male
0,2009,0.00882664969234033,,,historic,male
0,2010,0.00860895155268591,,,historic,male
0,2011,0.00895438858315456,,,historic,male
0,2012,0.00984242183228116,,,historic,male
0,2013,0.00830140485312899,,,historic,male
0,2014,0.00864487318944295,,,historic,male
0,2015,0.00761987362160823,,,historic,male
0,2016,0.0080313153809813,,,historic,male
0,2017,0.00718944559739105,,,historic,male
0,2018,0.00673954138242788,,,historic,male
0,2019,0.00654860726803173,,,historic,male
0,2020,0.00656624179219776,,,historic,male
0,2021,0.00799584631360332,,,historic,male
0,2022,0.00765064632141462,0.0104083800131146,0.0056313498693642,forecast,male
0,2023,0.00732452145251037,0.0113339857150617,0.00473716154123959,forecast,male
0,2024,0.00700794926417227,0.0119250027421054,0.00410629646391753,forecast,male
0,2025,0.00670937245690028,0.0124406791445572,0.00362557373108264,forecast,male
0,2026,0.00641784774674046,0.012789882308368,0.00323495240416465,forecast,male
0,2027,0.00614040256418574,0.0130687380438933,0.00289941690029517,forecast,male
0,2028,0.00587933743514056,0.0133142097813974,0.00261121659532618,forecast,male
0,2029,0.00563113802359141,0.0134403850119221,0.00235771196450626,forecast,male
0,2030,0.00538802786876968,0.0135949820513133,0.00213522708354321,forecast,male
0,2031,0.00516047730056057,0.0136457261161492,0.00194544019325177,forecast,male
0,2032,0.00493314946883967,0.0136588372828546,0.00177109021411167,forecast,male
0,2033,0.00472447083538555,0.013702961555516,0.00162212314409587,forecast,male
0,2034,0.00452054229364239,0.0137260336110139,0.00148750341129449,forecast,male
0,2035,0.00432609101614135,0.0136535392879646,0.001364978084661,forecast,male
0,2036,0.0041406706853298,0.0136158660763133,0.0012548049075745,forecast,male
0,2037,0.00396646841802917,0.0135176416299215,0.00115500845384976,forecast,male
0,2038,0.00379730392106414,0.0134520229693777,0.00106520056097103,forecast,male
0,2039,0.00363356550940736,0.0133594175353681,0.000979308944980708,forecast,male
0,2040,0.0034714864209735,0.0132221937648028,0.000904005283315145,forecast,male
0,2041,0.00332579848582114,0.0131496794635847,0.000837451206906077,forecast,male
0,2042,0.00318338191212191,0.0130211570161625,0.000773324981669433,forecast,male
0,2043,0.00304058060887602,0.0128779353987673,0.000715792688646263,forecast,male
0,2044,0.00291109727635143,0.0126846497529959,0.000665441169788877,forecast,male
0,2045,0.00278488936824049,0.0125310679101499,0.000616466983099093,forecast,male
0,2046,0.00266448766926204,0.0123801229490471,0.000569763511672639,forecast,male
0,2047,0.00255466444430558,0.0121646588909762,0.000528822119636991,forecast,male
0,2048,0.00244195390886173,0.0120762587286086,0.0004922891035588,forecast,male
0,2049,0.00233802715167158,0.0118929357797369,0.00045696126499439,forecast,male
0,2050,0.00223754923990859,0.0117331125922447,0.000426338021893835,forecast,male
0,2051,0.00214239926082071,0.0115535676000945,0.000394593941908475,forecast,male
0,2052,0.00205039676366884,0.01136475169255,0.000368804405413114,forecast,male
0,2053,0.00195962115824779,0.011185381580546,0.000343977926535463,forecast,male
0,2054,0.00187640403677977,0.0110154660313059,0.000319416518122108,forecast,male
0,2055,0.00179452807564376,0.0108174438446835,0.000297828837654358,forecast,male
0,2056,0.0017162749669186,0.0106335679457837,0.000277503955517123,forecast,male
0,2057,0.0016432627607834,0.0104288066295923,0.000258125367636349,forecast,male
0,2058,0.0015719602486042,0.0101844277636988,0.000241221217336287,forecast,male
0,2059,0.0015043065731574,0.0100119550802141,0.000225564434857687,forecast,male
0,2060,0.00143990720118823,0.00978586220232433,0.000211820743686295,forecast,male
0,2061,0.00137815303659856,0.00961911848735512,0.000196783575629321,forecast,male
1,1950,0.00974347890228045,,,historic,male
1,1951,0.0103781088702874,,,historic,male
1,1952,0.00920655656122671,,,historic,male
1,1953,0.00731873978931742,,,historic,male
1,1954,0.00556327265258093,,,historic,male
1,1955,0.00462641037378181,,,historic,male
1,1956,0.0041596083093963,,,historic,male
1,1957,0.00371044451406906,,,historic,male
1,1958,0.0034416353067967,,,historic,male
1,1959,0.00329142208586781,,,historic,male
1,1960,0.00292927145775978,,,historic,male
1,1961,0.00280094693552166,,,historic,male
1,1962,0.00285881110007594,,,historic,male
