year,age,sex,source,historic,central,upper,lower
2039,40,male,Our Projections,,42.4590727847572,47.1604184446166,38.4828204751461
2039,45,male,Our Projections,,38.288153084039,42.865174704182,34.4492357103836
2039,50,male,Our Projections,,34.0646320466425,38.5523624963393,30.3215997645527
2039,55,male,Our Projections,,30.0861855345128,34.4578867923681,26.4713486277564
2039,60,male,Our Projections,,26.3688803137824,30.6541299646447,22.8429880597526
2039,65,male,Our Projections,,22.7628908420888,26.9088289393418,19.3933085958158
2039,70,male,Our Projections,,19.3417994487467,23.3377446468581,16.1421134944048
2039,75,male,Our Projections,,16.1994465346313,19.9661273463968,13.2700923875305
2039,80,male,Our Projections,,13.5530091633242,17.2239471129034,10.7299890922844
2039,85,male,Our Projections,,11.525209262249,15.049317858689,8.8585636274831
2040,0,male,Our Projections,,79.4759651491396,84.7931650878142,74.191551682474
2040,1,male,Our Projections,,78.751718155513,83.8695049585618,74.1722500905699
2040,5,male,Our Projections,,74.7726159375826,79.871150893835,70.4304810891654
2040,10,male,Our Projections,,69.7914820936893,74.875023207524,65.525937643656
2040,15,male,Our Projections,,64.8077006539015,69.8815438715165,60.5663952827291
2040,20,male,Our Projections,,60.0047994520974,65.0444988460083,55.7956742968062
2040,25,male,Our Projections,,55.5959248879275,60.6356051813337,51.367092971804
2040,30,male,Our Projections,,51.1970953857683,56.2131013463183,46.9680541339984
2040,35,male,Our Projections,,46.8246130301567,51.7811854465321,42.6446689855055
2040,40,male,Our Projections,,42.6061896770839,47.4766402128461,38.5087401740245
2040,45,male,Our Projections,,38.4312858861301,43.1748359649631,34.4739229003386
2040,50,male,Our Projections,,34.2046854628803,38.8569110400362,30.3459090280032
2040,55,male,Our Projections,,30.2220816458543,34.7563254329373,26.4955320962432
2040,60,male,Our Projections,,26.5016947680549,30.948159385044,22.8663683848524
2040,65,male,Our Projections,,22.8911372947094,27.1949717642831,19.4149746709097
2040,70,male,Our Projections,,19.4645746249172,23.6155025777611,16.162251365026
2040,75,male,Our Projections,,16.3139380605141,20.2310460603831,13.2882673807469
2040,80,male,Our Projections,,13.6636687743006,17.4854695310046,10.7481948368873
2040,85,male,Our Projections,,11.630133399203,15.3034916161977,8.87659556706145
2041,0,male,Our Projections,,79.6376233555666,85.1117719387082,74.2179635200716
2041,1,male,Our Projections,,78.9027213546729,84.1832862110414,74.1936864919233
2041,5,male,Our Projections,,74.9221058289469,80.1841122596275,70.4497529604785
2041,10,male,Our Projections,,69.9395536103931,75.1879999641746,65.5438412783289
2041,15,male,Our Projections,,64.9558049210678,70.1938207085011,60.5843054625328
2041,20,male,Our Projections,,60.1514432447701,65.3554751607469,55.8130306093373
2041,25,male,Our Projections,,55.7433568162173,60.9468838448441,51.3856726662074
2041,30,male,Our Projections,,51.3449519033696,56.5243643324641,46.9862752354606
2041,35,male,Our Projections,,46.9711235485607,52.0888513241353,42.6626012225624
2041,40,male,Our Projections,,42.7502348068694,47.7799815192677,38.5264911733255
2041,45,male,Our Projections,,38.5708237235151,43.471275269655,34.4911746322741
2041,50,male,Our Projections,,34.341451967481,39.1487830552505,30.3627190929008
2041,55,male,Our Projections,,30.3549373466278,35.0424379471176,26.5110604230469
2041,60,male,Our Projections,,26.6320192635491,31.2288498578527,22.8811071972548
